S1533010.020468
Kangaroa 30/03/2015 10:02:03 30/03/2015 10:02:04 0560 0176.5 0038.5 -0.20 0.00 22.0 1013.0
-2.5 -2.5 00.0  00.0 -2.6 00.2  00.0
0000020 0020 0000000 0000 02
1 0 1 16340 1 0780 7.50 00355.o 0 0 00 000 12 000020 0.500 BT0
1 1 1 16340 1 0750 7.50 00355.p 0 0 00 000 00 000020 4.3651 BC0
355.000 .o analog 0 	355.000 .p photon 0 
  4.2664	 20.0000
  4.2786	 28.0000
  4.2419	 29.0000
  4.2542	 60.0000
  4.2542	110.0000
  4.2419	127.0000
  4.4006	142.0000
  4.8706	137.0000
  4.6814	143.0000
  4.6326	135.0000
  4.8035	137.0000
  5.1331	133.0000
  7.3486	145.0000
 13.5315	139.0000
 22.4854	140.0000
 33.0505	132.0000
 43.6096	148.0000
 52.3926	138.0000
 57.9590	144.0000
 60.6689	139.0000
 63.4094	134.0000
 64.3494	146.0000
 64.9597	138.0000
 67.2119	140.0000
 67.1692	151.0000
 66.4185	146.0000
 65.1489	146.0000
 63.3423	143.0000
 60.5652	146.0000
 59.0576	135.0000
 55.5298	131.0000
 51.6113	133.0000
 48.7854	137.0000
 46.4417	137.0000
 43.7195	137.0000
 41.0706	137.0000
 38.5742	125.0000
 36.1389	137.0000
 34.6375	132.0000
 32.9712	140.0000
 30.9448	129.0000
 29.4861	130.0000
 27.5879	133.0000
 26.7456	126.0000
 25.7019	125.0000
 24.3225	129.0000
 23.6877	118.0000
 22.6562	122.0000
 21.4111	120.0000
 20.9167	125.0000
 20.3247	125.0000
 19.0247	121.0000
 18.3289	122.0000
 17.9810	124.0000
 17.7368	122.0000
 17.0227	119.0000
 16.6687	124.0000
 16.1438	124.0000
 15.6067	125.0000
 15.4175	119.0000
 14.2151	125.0000
 13.7817	125.0000
 14.0076	114.0000
 13.5986	112.0000
 13.2141	114.0000
 12.4390	114.0000
 12.5793	118.0000
 12.3108	116.0000
 11.9812	118.0000
 11.7126	110.0000
 11.6028	111.0000
 11.0596	105.0000
 10.8521	111.0000
 10.7483	102.0000
 10.6934	100.0000
 10.4187	106.0000
 10.3333	 92.0000
 10.2173	101.0000
  9.7107	102.0000
  9.3689	104.0000
  9.5459	110.0000
  9.4238	106.0000
  9.1431	 92.0000
  8.9294	 98.0000
  8.5632	103.0000
  8.8318	 90.0000
  8.8806	 97.0000
  8.6731	 85.0000
  8.5388	 93.0000
  8.4656	 85.0000
  8.2642	 98.0000
  8.3618	 93.0000
  8.3862	 99.0000
  8.2886	 97.0000
  7.8369	 84.0000
  7.8308	 90.0000
  7.5806	 85.0000
  7.6538	 83.0000
  7.5134	 91.0000
  7.6172	 94.0000
  7.3853	 82.0000
  7.6477	 80.0000
  7.5195	 95.0000
  7.1045	 75.0000
  7.3486	 81.0000
  7.2205	 88.0000
  7.0984	 84.0000
  7.0190	 77.0000
  7.0312	 77.0000
  6.8054	 83.0000
  7.0129	 75.0000
  6.8359	 74.0000
  6.8970	 73.0000
  6.8970	 69.0000
  6.7749	 75.0000
  6.8665	 72.0000
  6.6162	 75.0000
  6.5063	 71.0000
  6.5857	 64.0000
  6.4758	 63.0000
  6.3354	 65.0000
  6.2622	 72.0000
  6.2378	 66.0000
  6.1096	 66.0000
  6.0913	 60.0000
  6.2927	 58.0000
  5.9998	 63.0000
  6.0547	 71.0000
  6.1096	 63.0000
  5.9998	 67.0000
  6.0242	 70.0000
  6.1890	 71.0000
  5.8655	 63.0000
  5.8411	 54.0000
  6.0913	 59.0000
  5.9265	 54.0000
  5.9387	 66.0000
  5.8411	 60.0000
  5.8350	 62.0000
  5.8533	 59.0000
  5.8044	 63.0000
  5.7922	 54.0000
  5.7434	 59.0000
  5.7434	 53.0000
  5.6946	 55.0000
  5.7251	 49.0000
  5.7312	 46.0000
  5.6824	 28.0000
  5.5908	 49.0000
  5.5969	 14.0000
  6.0303	 13.0000
 11.5112	 17.0000
  5.7495	 22.0000
  6.1523	 11.0000
 73.5840	 10.0000
 43.5120	 14.0000
  0.0732	 14.0000
 10.4919	 18.0000
  1.9714	 18.0000
  6.0181	 22.0000
  4.0039	  7.0000
  4.9316	 12.0000
  4.4250	  9.0000
  4.5471	 13.0000
  4.5044	 22.0000
  4.5532	 15.0000
  4.5288	  9.0000
  4.6021	 12.0000
  4.5654	  9.0000
  4.4617	  8.0000
  4.5166	 16.0000
  4.4861	 19.0000
  4.6326	  5.0000
  4.5837	 16.0000
  4.4495	 18.0000
  4.5105	 16.0000
  4.4617	 12.0000
  4.4495	 10.0000
  4.5166	 13.0000
  4.5166	  5.0000
  4.4739	 14.0000
  4.4128	 13.0000
  4.4922	 12.0000
  4.5288	 11.0000
  4.5166	 10.0000
  4.4861	 10.0000
  4.4373	 11.0000
  4.4250	  8.0000
  4.3701	  8.0000
  4.4983	  7.0000
  4.4250	 11.0000
  4.4861	 14.0000
  4.4678	 12.0000
  4.4312	  8.0000
  4.4373	 11.0000
  4.4861	 15.0000
  4.4067	  8.0000
  4.4189	 14.0000
  4.3823	 12.0000
  4.4373	  8.0000
  4.4800	  4.0000
  4.4189	 11.0000
  4.4250	  4.0000
  4.4373	  8.0000
  4.4495	  9.0000
  4.4373	  5.0000
  4.4861	  9.0000
  4.4250	 10.0000
  4.3762	  5.0000
  4.4617	  8.0000
  4.4373	  7.0000
  4.3274	  7.0000
  4.3945	  8.0000
  4.4128	 10.0000
  4.3579	  6.0000
  4.3945	 11.0000
  4.4128	  4.0000
  4.3945	  9.0000
  4.4189	  4.0000
  4.3884	  3.0000
  4.3701	  6.0000
  4.3762	  8.0000
  4.3457	  2.0000
  4.4006	 10.0000
  4.3762	  7.0000
  4.3701	  9.0000
  4.3457	  4.0000
  4.3457	  6.0000
  4.3457	  4.0000
  4.4067	  8.0000
  4.4006	  5.0000
  4.3701	  3.0000
  4.3213	  5.0000
  4.3518	  9.0000
  4.4006	  6.0000
  4.3457	  6.0000
  4.3152	 10.0000
  4.3640	  3.0000
  4.3884	  2.0000
  4.3396	  2.0000
  4.3152	  6.0000
  4.3640	  1.0000
  4.3701	  4.0000
  4.3335	  4.0000
  4.3945	  4.0000
  4.3640	  2.0000
  4.2969	  7.0000
  4.2908	  7.0000
  4.3335	  3.0000
  4.3945	  3.0000
  4.3091	  2.0000
  4.3335	 14.0000
  4.3457	  4.0000
  4.3396	  2.0000
  4.3213	  5.0000
  4.3884	  4.0000
  4.3335	  4.0000
  4.3579	  4.0000
  4.3213	  4.0000
  4.3518	  2.0000
  4.3884	  8.0000
  4.2847	  3.0000
  4.2725	  7.0000
  4.2969	  2.0000
  4.3457	  6.0000
  4.3640	  4.0000
  4.3030	  2.0000
  4.3091	  8.0000
  4.3335	  3.0000
  4.3213	  2.0000
  4.3213	  4.0000
  4.3396	  1.0000
  4.3274	  7.0000
  4.3396	  6.0000
  4.2908	  4.0000
  4.3213	  3.0000
  4.3335	  2.0000
  4.3274	  3.0000
  4.2908	  5.0000
  4.3213	  2.0000
  4.3335	  5.0000
  4.3335	  4.0000
  4.3152	  1.0000
  4.2847	 10.0000
  4.2664	  3.0000
  4.3030	  1.0000
  4.2664	  2.0000
  4.2969	  3.0000
  4.2847	  2.0000
  4.3152	  5.0000
  4.2786	  0.0000
  4.3335	  2.0000
  4.3274	  3.0000
  4.2664	  6.0000
  4.2908	  3.0000
  4.2908	  1.0000
  4.3030	  4.0000
  4.2969	  4.0000
  4.3335	  3.0000
  4.2969	  3.0000
  4.3091	  1.0000
  4.3152	  3.0000
  4.3030	  3.0000
  4.2908	  3.0000
  4.2908	  2.0000
  4.2969	  4.0000
  4.3030	  2.0000
  4.2908	  3.0000
  4.2664	  3.0000
  4.3030	  2.0000
  4.3274	  5.0000
  4.2847	  5.0000
  4.2908	  2.0000
  4.2603	  3.0000
  4.3396	  2.0000
  4.2786	  4.0000
  4.3091	  1.0000
