S1533010.021918
Kangaroa 30/03/2015 10:02:18 30/03/2015 10:02:19 0560 0176.5 0038.5 -0.80 0.00 22.0 1013.0
-2.5 -2.5 00.0  00.0 -2.6 00.2  00.0
0000020 0020 0000000 0000 02
1 0 1 16340 1 0780 7.50 00355.o 0 0 00 000 12 000020 0.500 BT0
1 1 1 16340 1 0750 7.50 00355.p 0 0 00 000 00 000020 4.3651 BC0
355.000 .o analog 0 	355.000 .p photon 0 
  4.2664	 24.0000
  4.2419	 36.0000
  4.2480	 30.0000
  4.2542	 62.0000
  4.2725	106.0000
  4.2480	133.0000
  4.3762	132.0000
  4.9194	134.0000
  4.6631	128.0000
  4.7485	143.0000
  4.7974	132.0000
  5.1331	143.0000
  7.3853	149.0000
 12.7197	134.0000
 21.8628	143.0000
 32.3730	145.0000
 42.5354	149.0000
 51.0986	135.0000
 57.2998	138.0000
 60.3882	142.0000
 61.9568	144.0000
 63.5925	136.0000
 64.9658	145.0000
 65.5884	136.0000
 65.9485	137.0000
 66.7847	148.0000
 64.6423	152.0000
 62.9272	136.0000
 60.5652	144.0000
 57.8247	139.0000
 54.5471	135.0000
 52.3621	139.0000
 48.6206	135.0000
 45.3735	134.0000
 42.9504	138.0000
 40.9302	133.0000
 37.7869	133.0000
 36.0352	134.0000
 34.7656	130.0000
 32.4890	125.0000
 30.7800	133.0000
 29.0100	132.0000
 27.8809	133.0000
 26.6968	130.0000
 25.2991	126.0000
 24.0723	127.0000
 23.3154	122.0000
 22.3938	121.0000
 21.2524	130.0000
 20.8313	115.0000
 20.4468	117.0000
 19.1711	120.0000
 18.3044	120.0000
 17.9016	121.0000
 17.3828	130.0000
 16.6992	119.0000
 16.2048	120.0000
 15.7593	125.0000
 15.2954	120.0000
 14.4470	125.0000
 14.2761	114.0000
 14.0381	123.0000
 13.3667	113.0000
 13.4277	122.0000
 13.3545	118.0000
 12.9700	110.0000
 12.3047	117.0000
 11.9690	112.0000
 11.7126	110.0000
 11.9446	111.0000
 11.5234	111.0000
 11.1450	102.0000
 10.7910	107.0000
 10.7117	101.0000
 10.6934	109.0000
 10.4004	109.0000
 10.3210	114.0000
 10.1074	104.0000
  9.8450	106.0000
  9.6619	 90.0000
  9.3872	103.0000
  9.4727	102.0000
  9.5581	 99.0000
  9.2102	105.0000
  9.0271	103.0000
  8.7280	 97.0000
  8.6365	 97.0000
  8.3496	 99.0000
  8.4961	 90.0000
  8.4167	 95.0000
  8.2886	 95.0000
  8.2764	 87.0000
  8.3252	 86.0000
  8.0566	100.0000
  8.0261	 84.0000
  7.8064	 90.0000
  7.6172	 74.0000
  7.7515	 79.0000
  7.7026	 86.0000
  7.5195	 81.0000
  7.4951	 89.0000
  7.3059	 91.0000
  7.3059	 76.0000
  7.2266	 90.0000
  7.1716	 84.0000
  7.0557	 77.0000
  7.0557	 81.0000
  6.7566	 78.0000
  6.7749	 76.0000
  6.8909	 70.0000
  6.8054	 80.0000
  6.6467	 78.0000
  6.8787	 78.0000
  6.7322	 73.0000
  6.6101	 69.0000
  6.6467	 76.0000
  6.4209	 62.0000
  6.5491	 73.0000
  6.5002	 69.0000
  6.5369	 71.0000
  6.5125	 65.0000
  6.4270	 84.0000
  6.2561	 64.0000
  6.3171	 61.0000
  6.2866	 68.0000
  6.1890	 65.0000
  6.2744	 67.0000
  6.2317	 53.0000
  6.0303	 63.0000
  6.2134	 62.0000
  6.3965	 61.0000
  5.9143	 60.0000
  5.9814	 68.0000
  6.0730	 60.0000
  6.0425	 59.0000
  5.8716	 62.0000
  5.8105	 55.0000
  5.6824	 56.0000
  5.6946	 59.0000
  5.7800	 58.0000
  5.7617	 52.0000
  5.8228	 58.0000
  5.7251	 57.0000
  5.6824	 55.0000
  5.6580	 52.0000
  5.7312	 53.0000
  5.7129	 59.0000
  5.6213	 47.0000
  5.5115	 44.0000
  5.4626	 54.0000
  5.5420	 58.0000
  5.4993	 51.0000
  5.3345	 42.0000
  5.5237	 50.0000
  5.5298	 49.0000
  5.4504	 40.0000
  5.3894	 47.0000
  5.3650	 49.0000
  5.6213	 44.0000
  5.4443	 50.0000
  5.3040	 49.0000
  5.3040	 52.0000
  5.3650	 52.0000
  5.4260	 44.0000
  5.3223	 41.0000
  5.3284	 58.0000
  5.3833	 49.0000
  5.2673	 54.0000
  5.3284	 42.0000
  5.3528	 42.0000
  5.3406	 47.0000
  5.4138	 42.0000
  5.3894	 45.0000
  5.2856	 48.0000
  5.4443	 40.0000
  5.4016	 50.0000
  5.4443	 48.0000
  5.2856	 45.0000
  5.3528	 37.0000
  5.2734	 45.0000
  5.2551	 48.0000
  5.3589	 39.0000
  5.2612	 41.0000
  5.2917	 41.0000
  5.3406	 37.0000
  5.2246	 45.0000
  5.0781	 40.0000
  5.2307	 48.0000
