S1533010.021428
Kangaroa 30/03/2015 10:02:13 30/03/2015 10:02:14 0560 0176.5 0038.5 -0.60 0.00 22.0 1013.0
-2.5 -2.5 00.0  00.0 -2.6 00.2  00.0
0000020 0020 0000000 0000 02
1 0 1 16340 1 0780 7.50 00355.o 0 0 00 000 12 000020 0.500 BT0
1 1 1 16340 1 0750 7.50 00355.p 0 0 00 000 00 000020 4.3651 BC0
355.000 .o analog 0 	355.000 .p photon 0 
  4.2603	 16.0000
  4.2419	 27.0000
  4.2847	 32.0000
  4.2664	 62.0000
  4.2480	 98.0000
  4.2236	128.0000
  4.3762	140.0000
  4.9316	137.0000
  4.6082	135.0000
  4.6692	134.0000
  4.9072	146.0000
  5.0781	139.0000
  7.0190	143.0000
 12.8052	138.0000
 21.8323	143.0000
 33.4595	143.0000
 43.8660	136.0000
 52.2949	137.0000
 57.4036	133.0000
 60.9314	138.0000
 62.4695	137.0000
 64.0747	138.0000
 65.9241	143.0000
 67.3767	148.0000
 67.6941	141.0000
 66.8640	131.0000
 65.1794	140.0000
 64.4165	143.0000
 61.6333	137.0000
 59.0698	150.0000
 55.5908	136.0000
 51.8311	141.0000
 49.9573	143.0000
 46.4722	130.0000
 43.6157	130.0000
 40.3076	132.0000
 38.9771	128.0000
 36.8896	138.0000
 34.8694	134.0000
 33.1360	141.0000
 31.0547	132.0000
 29.3762	131.0000
 28.5339	130.0000
 27.0264	140.0000
 25.7690	137.0000
 24.8535	124.0000
 24.3774	129.0000
 22.4487	124.0000
 21.8750	124.0000
 21.0449	125.0000
 20.4407	131.0000
 19.1528	127.0000
 18.3716	132.0000
 18.0054	122.0000
 17.7063	126.0000
 16.8518	126.0000
 16.4429	133.0000
 15.9668	116.0000
 15.3381	130.0000
 14.4226	119.0000
 14.3555	123.0000
 14.1174	118.0000
 13.8367	111.0000
 13.5620	125.0000
 13.0127	118.0000
 12.8174	112.0000
 12.6770	117.0000
 11.9385	112.0000
 12.2803	118.0000
 12.0972	111.0000
 11.4624	113.0000
 11.2366	101.0000
 11.2183	111.0000
 10.9009	111.0000
 10.7483	 98.0000
 10.4736	100.0000
 10.2417	106.0000
 10.1562	104.0000
  9.6863	108.0000
  9.5703	 94.0000
  9.3933	108.0000
  9.3750	101.0000
  9.3018	 96.0000
  8.9294	 91.0000
  8.8928	 94.0000
  9.0515	 94.0000
  9.2346	100.0000
  8.7891	 95.0000
  8.5327	 96.0000
  8.6182	 97.0000
  8.2520	 91.0000
  8.3252	 92.0000
  8.3313	 92.0000
  8.1421	 96.0000
  8.1116	101.0000
  7.8247	 94.0000
  7.9529	 83.0000
  7.7393	 82.0000
  7.6904	 85.0000
  7.6233	 85.0000
  7.7576	 84.0000
  7.5500	 84.0000
  7.3669	 78.0000
  7.2021	 83.0000
  7.2571	 84.0000
  7.1777	 77.0000
  6.9702	 87.0000
  7.0923	 72.0000
  6.9397	 85.0000
  6.9519	 72.0000
  6.7322	 86.0000
  6.6223	 90.0000
  6.8787	 76.0000
  6.5247	 80.0000
  6.7688	 67.0000
  6.8176	 72.0000
  6.5369	 77.0000
  6.5613	 69.0000
  6.4819	 62.0000
  6.6040	 73.0000
  6.3416	 70.0000
  6.4575	 75.0000
  6.3416	 74.0000
  6.3232	 64.0000
  6.4087	 69.0000
  6.2561	 72.0000
  6.2195	 63.0000
  6.3171	 64.0000
  6.1462	 59.0000
  6.3354	 68.0000
  6.0730	 61.0000
  6.0669	 69.0000
  5.9998	 71.0000
  6.0547	 58.0000
  5.9204	 59.0000
  6.0425	 55.0000
  5.7251	 55.0000
  5.7861	 60.0000
  5.7983	 57.0000
  5.9326	 56.0000
  5.9204	 52.0000
  5.7678	 54.0000
  5.7922	 56.0000
  5.7434	 47.0000
  5.7251	 65.0000
  5.6274	 49.0000
  5.5969	 55.0000
  5.5359	 61.0000
  5.5664	 64.0000
  5.6580	 61.0000
  5.5237	 56.0000
  5.6274	 43.0000
  5.5908	 56.0000
  5.6519	 55.0000
  5.5298	 54.0000
  5.5054	 58.0000
  5.7007	 54.0000
  5.7007	 50.0000
  5.4626	 37.0000
  5.5115	 50.0000
  5.4260	 45.0000
  5.5847	 51.0000
  5.4749	 54.0000
  5.5664	 46.0000
  5.4016	 57.0000
  5.4199	 54.0000
  5.3589	 49.0000
  5.3284	 58.0000
  5.3894	 48.0000
  5.3650	 54.0000
  5.4443	 48.0000
  5.4993	 55.0000
  5.3711	 61.0000
  5.4382	 49.0000
  5.3772	 51.0000
  5.3772	 46.0000
  5.4077	 53.0000
  5.3955	 55.0000
  5.4138	 39.0000
  5.4321	 43.0000
  5.4626	 42.0000
  5.4077	 47.0000
  5.3406	 44.0000
  5.3467	 46.0000
  5.2124	 44.0000
  5.3894	 42.0000
  5.2612	 48.0000
  5.2185	 35.0000
  5.1208	 42.0000
  5.1941	 36.0000
  5.2368	 39.0000
  5.3650	 43.0000
  5.2795	 42.0000
  5.1758	 36.0000
  5.2551	 32.0000
  5.1819	 39.0000
  5.0720	 36.0000
  5.0659	 37.0000
  5.1025	 39.0000
  5.2246	 47.0000
  5.3040	 36.0000
  5.1086	 37.0000
  4.9866	 27.0000
  4.9744	 44.0000
  5.0720	 37.0000
  5.1147	 25.0000
  5.1270	 34.0000
  5.1025	 44.0000
  5.0537	 32.0000
  4.9927	 37.0000
  4.9377	 37.0000
  5.0354	 29.0000
  5.1086	 31.0000
  4.9561	 29.0000
  4.9561	 39.0000
  5.0293	 26.0000
  5.0537	 32.0000
  4.9622	 30.0000
  4.9072	 27.0000
  4.9683	 32.0000
  4.9011	 38.0000
  4.8950	 35.0000
  4.9744	 25.0000
  4.8401	 29.0000
  4.9988	 27.0000
  4.9194	 20.0000
  4.8950	 29.0000
  4.9072	 35.0000
  4.9438	 28.0000
  5.0232	 22.0000
  4.9194	 31.0000
  4.8401	 25.0000
  4.8401	 24.0000
  4.8157	 30.0000
  4.7791	 33.0000
  4.9072	 26.0000
  4.8462	 28.0000
  4.8279	 31.0000
  4.7913	 22.0000
  4.8096	 26.0000
  4.7302	 29.0000
  4.8279	 20.0000
  4.8706	 29.0000
  4.8035	 31.0000
  4.7729	 24.0000
  4.8584	 22.0000
  4.8279	 31.0000
  4.6692	 23.0000
  4.7119	 24.0000
  4.7424	 26.0000
  4.7546	 14.0000
  4.8340	 24.0000
  4.8584	 18.0000
  4.6997	 13.0000
  4.7668	 21.0000
  4.7363	 22.0000
  4.7180	 24.0000
  4.7607	 23.0000
  4.6570	 21.0000
  4.6448	 33.0000
  4.6814	 28.0000
  4.6326	 26.0000
