R18B0722.195190
U-C_VOL_ 07/11/2018 22:19:51 07/11/2018 22:19:50 0170 23.7534 38.0631 -9.6 112.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000013 0020 0000013 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.4558	 49.2308	  0.0000	  0.0000	  9.6867	107.6923	  0.0000	  0.0000	 55.3846	  0.0000
  9.5121	 80.0000	  0.0000	  0.0000	  9.6943	160.0000	  0.0000	  0.0000	 70.7692	  0.0000
  9.5590	 89.2308	  0.0000	  0.0000	  9.6867	196.9231	  0.0000	  0.0000	104.6154	  0.0000
  9.4839	 86.1538	  0.0000	  0.0000	  9.6980	178.4615	  0.0000	  0.0000	 92.3077	  0.0000
  9.4933	110.7692	  0.0000	  0.0000	  9.6755	249.2308	  0.0000	  0.0000	166.1538	  0.0000
  9.3431	203.0769	  0.0000	  0.0000	  9.6605	273.8462	  0.0000	  0.0000	249.2308	  0.0000
  9.5778	280.0000	  0.0000	  0.0000	  9.6698	295.3846	  0.0000	  0.0000	276.9231	  0.0000
  9.6623	286.1538	  0.0000	  0.0000	  9.7112	298.4615	  0.0000	  0.0000	286.1538	  0.0000
  9.3994	280.0000	  0.0000	  0.0000	  9.7412	298.4615	  0.0000	  0.0000	280.0000	  0.0000
  9.5966	310.7692	  0.0000	  0.0000	 10.4304	264.6154	  0.0000	  0.0000	273.8462	  0.0000
 10.4887	289.2308	  0.0000	  0.0000	 12.0418	286.1538	  0.0000	  0.0000	270.7692	  0.0000
 11.1553	280.0000	  0.0000	  0.0000	 13.5442	280.0000	  0.0000	  0.0000	267.6923	  0.0000
