R18B0723.084352
U-C_VOL_ 07/11/2018 23:08:42 07/11/2018 23:08:42 0170 23.7534 38.0631 -7.2 24.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000015 0020 0000015 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000015 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000015 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000015 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000015 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000015 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.2285	 40.0000	  0.0000	  0.0000	  9.3815	120.0000	  0.0000	  0.0000	 82.6667	  0.0000
  9.2204	 82.6667	  0.0000	  0.0000	  9.4059	157.3333	  0.0000	  0.0000	 88.0000	  0.0000
  9.2367	 98.6667	  0.0000	  0.0000	  9.3945	160.0000	  0.0000	  0.0000	 96.0000	  0.0000
  9.1715	 93.3333	  0.0000	  0.0000	  9.3848	178.6667	  0.0000	  0.0000	 72.0000	  0.0000
  9.1960	 85.3333	  0.0000	  0.0000	  9.3880	208.0000	  0.0000	  0.0000	125.3333	  0.0000
  9.1309	154.6667	  0.0000	  0.0000	  9.3848	245.3333	  0.0000	  0.0000	213.3333	  0.0000
  9.3262	213.3333	  0.0000	  0.0000	  9.3636	272.0000	  0.0000	  0.0000	250.6667	  0.0000
  9.3587	272.0000	  0.0000	  0.0000	  9.3864	269.3333	  0.0000	  0.0000	256.0000	  0.0000
  9.0658	277.3333	  0.0000	  0.0000	  9.4076	290.6667	  0.0000	  0.0000	277.3333	  0.0000
  9.3018	293.3333	  0.0000	  0.0000	  9.8942	248.0000	  0.0000	  0.0000	266.6667	  0.0000
 10.4329	288.0000	  0.0000	  0.0000	 11.5527	277.3333	  0.0000	  0.0000	269.3333	  0.0000
