R18B0722.070487
U-C_VOL_ 07/11/2018 22:07:04 07/11/2018 22:07:03 0170 23.7534 38.0631 -5.0 24.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.4430	108.5714	  0.0000	  0.0000	  9.7028	180.0000	  0.0000	  0.0000	 62.8571	  0.0000
  9.4517	 97.1429	  0.0000	  0.0000	  9.6941	182.8571	  0.0000	  0.0000	 77.1429	  0.0000
  9.4604	108.5714	  0.0000	  0.0000	  9.6837	180.0000	  0.0000	  0.0000	 91.4286	  0.0000
  9.4430	114.2857	  0.0000	  0.0000	  9.6889	168.5714	  0.0000	  0.0000	 82.8571	  0.0000
  9.4866	 94.2857	  0.0000	  0.0000	  9.6680	251.4286	  0.0000	  0.0000	157.1429	  0.0000
  9.2599	182.8571	  0.0000	  0.0000	  9.6610	285.7143	  0.0000	  0.0000	214.2857	  0.0000
  9.5215	254.2857	  0.0000	  0.0000	  9.6680	262.8571	  0.0000	  0.0000	268.5714	  0.0000
  9.5912	280.0000	  0.0000	  0.0000	  9.7098	285.7143	  0.0000	  0.0000	271.4286	  0.0000
  9.5825	291.4286	  0.0000	  0.0000	  9.7761	280.0000	  0.0000	  0.0000	277.1429	  0.0000
 10.2626	302.8571	  0.0000	  0.0000	 10.7509	262.8571	  0.0000	  0.0000	294.2857	  0.0000
 11.2566	280.0000	  0.0000	  0.0000	 13.1487	297.1429	  0.0000	  0.0000	274.2857	  0.0000
 11.7885	291.4286	  0.0000	  0.0000	 14.6467	297.1429	  0.0000	  0.0000	265.7143	  0.0000
 12.0152	297.1429	  0.0000	  0.0000	 14.2473	297.1429	  0.0000	  0.0000	300.0000	  0.0000
 11.7013	291.4286	  0.0000	  0.0000	 14.7042	280.0000	  0.0000	  0.0000	285.7143	  0.0000
 13.0877	291.4286	  0.0000	  0.0000	 21.9918	274.2857	  0.0000	  0.0000	285.7143	  0.0000
 20.7258	294.2857	  0.0000	  0.0000	 44.5714	291.4286	  0.0000	  0.0000	294.2857	  0.0000
 37.3012	291.4286	  0.0000	  0.0000	 80.2700	280.0000	  0.0000	  0.0000	294.2857	  0.0000
 58.7507	291.4286	  0.0000	  0.0000	125.1500	274.2857	  0.0000	  0.0000	285.7143	  0.0000
 79.9386	271.4286	  0.0000	  0.0000	179.1295	282.8571	  0.0000	  0.0000	280.0000	  0.0000
 98.1445	288.5714	  0.0000	  0.0000	199.6617	277.1429	  0.0000	  0.0000	297.1429	  0.0000
111.9821	294.2857	  0.0000	  0.0000	199.9512	294.2857	  0.0000	  0.0000	274.2857	  0.0000
