R18B0723.120060
U-C_VOL_ 07/11/2018 23:11:59 07/11/2018 23:11:59 0170 23.7534 38.0631 -5.4 112.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.2512	 54.2857	  0.0000	  0.0000	  9.3541	105.7143	  0.0000	  0.0000	 54.2857	  0.0000
  9.1902	 91.4286	  0.0000	  0.0000	  9.3454	165.7143	  0.0000	  0.0000	 82.8571	  0.0000
  9.1902	 88.5714	  0.0000	  0.0000	  9.3523	142.8571	  0.0000	  0.0000	 94.2857	  0.0000
  9.2163	 88.5714	  0.0000	  0.0000	  9.3715	191.4286	  0.0000	  0.0000	102.8571	  0.0000
  9.2512	102.8571	  0.0000	  0.0000	  9.3663	245.7143	  0.0000	  0.0000	162.8571	  0.0000
  9.1640	194.2857	  0.0000	  0.0000	  9.3802	285.7143	  0.0000	  0.0000	231.4286	  0.0000
  9.3645	260.0000	  0.0000	  0.0000	  9.3523	271.4286	  0.0000	  0.0000	265.7143	  0.0000
  9.3558	268.5714	  0.0000	  0.0000	  9.3715	265.7143	  0.0000	  0.0000	262.8571	  0.0000
  9.0768	268.5714	  0.0000	  0.0000	  9.3680	288.5714	  0.0000	  0.0000	268.5714	  0.0000
  9.4256	294.2857	  0.0000	  0.0000	  9.8668	294.2857	  0.0000	  0.0000	282.8571	  0.0000
 10.5591	274.2857	  0.0000	  0.0000	 11.5130	291.4286	  0.0000	  0.0000	260.0000	  0.0000
 11.2217	291.4286	  0.0000	  0.0000	 12.9918	285.7143	  0.0000	  0.0000	268.5714	  0.0000
 11.2828	308.5714	  0.0000	  0.0000	 13.3510	271.4286	  0.0000	  0.0000	285.7143	  0.0000
 11.3264	251.4286	  0.0000	  0.0000	 15.0774	257.1429	  0.0000	  0.0000	257.1429	  0.0000
 14.1514	282.8571	  0.0000	  0.0000	 25.1081	260.0000	  0.0000	  0.0000	280.0000	  0.0000
 25.2424	288.5714	  0.0000	  0.0000	 50.8283	285.7143	  0.0000	  0.0000	277.1429	  0.0000
