R18B0722.454696
U-C_VOL_ 07/11/2018 22:45:46 07/11/2018 22:45:45 0170 23.7534 38.0631 -8.2 24.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.5302	 51.4286	  0.0000	  0.0000	  9.6854	137.1429	  0.0000	  0.0000	 71.4286	  0.0000
  9.5389	 65.7143	  0.0000	  0.0000	  9.6906	165.7143	  0.0000	  0.0000	 82.8571	  0.0000
  9.4779	 65.7143	  0.0000	  0.0000	  9.6837	160.0000	  0.0000	  0.0000	100.0000	  0.0000
  9.4866	 91.4286	  0.0000	  0.0000	  9.6819	174.2857	  0.0000	  0.0000	 82.8571	  0.0000
  9.4343	 94.2857	  0.0000	  0.0000	  9.6837	254.2857	  0.0000	  0.0000	145.7143	  0.0000
  9.2948	165.7143	  0.0000	  0.0000	  9.6872	285.7143	  0.0000	  0.0000	257.1429	  0.0000
  9.5825	274.2857	  0.0000	  0.0000	  9.6872	291.4286	  0.0000	  0.0000	274.2857	  0.0000
  9.6348	274.2857	  0.0000	  0.0000	  9.7151	280.0000	  0.0000	  0.0000	277.1429	  0.0000
  9.3558	271.4286	  0.0000	  0.0000	  9.7238	294.2857	  0.0000	  0.0000	280.0000	  0.0000
  9.7569	285.7143	  0.0000	  0.0000	 10.5103	282.8571	  0.0000	  0.0000	268.5714	  0.0000
 10.5765	271.4286	  0.0000	  0.0000	 12.4337	268.5714	  0.0000	  0.0000	282.8571	  0.0000
 10.9515	260.0000	  0.0000	  0.0000	 13.4539	271.4286	  0.0000	  0.0000	271.4286	  0.0000
 11.1694	282.8571	  0.0000	  0.0000	 13.5254	277.1429	  0.0000	  0.0000	285.7143	  0.0000
 11.5444	282.8571	  0.0000	  0.0000	 14.7618	291.4286	  0.0000	  0.0000	265.7143	  0.0000
 13.2533	265.7143	  0.0000	  0.0000	 23.2387	305.7143	  0.0000	  0.0000	280.0000	  0.0000
 21.3797	277.1429	  0.0000	  0.0000	 48.6433	282.8571	  0.0000	  0.0000	285.7143	  0.0000
 38.3301	282.8571	  0.0000	  0.0000	 90.5797	274.2857	  0.0000	  0.0000	268.5714	  0.0000
 61.6717	277.1429	  0.0000	  0.0000	141.8719	285.7143	  0.0000	  0.0000	297.1429	  0.0000
 85.4056	274.2857	  0.0000	  0.0000	188.7748	282.8571	  0.0000	  0.0000	282.8571	  0.0000
102.0944	277.1429	  0.0000	  0.0000	199.8675	291.4286	  0.0000	  0.0000	260.0000	  0.0000
117.7194	285.7143	  0.0000	  0.0000	199.9512	280.0000	  0.0000	  0.0000	271.4286	  0.0000
130.6239	268.5714	  0.0000	  0.0000	199.9512	288.5714	  0.0000	  0.0000	297.1429	  0.0000
138.7678	274.2857	  0.0000	  0.0000	199.9512	262.8571	  0.0000	  0.0000	262.8571	  0.0000
143.3193	294.2857	  0.0000	  0.0000	199.9512	297.1429	  0.0000	  0.0000	297.1429	  0.0000
144.1476	288.5714	  0.0000	  0.0000	199.9512	285.7143	  0.0000	  0.0000	274.2857	  0.0000
144.7492	280.0000	  0.0000	  0.0000	199.9512	285.7143	  0.0000	  0.0000	280.0000	  0.0000
146.7024	282.8571	  0.0000	  0.0000	199.9512	302.8571	  0.0000	  0.0000	288.5714	  0.0000
145.6822	265.7143	  0.0000	  0.0000	199.9512	268.5714	  0.0000	  0.0000	268.5714	  0.0000
143.7291	294.2857	  0.0000	  0.0000	199.9512	282.8571	  0.0000	  0.0000	277.1429	  0.0000
144.3569	277.1429	  0.0000	  0.0000	199.9512	277.1429	  0.0000	  0.0000	282.8571	  0.0000
140.9912	291.4286	  0.0000	  0.0000	199.9512	285.7143	  0.0000	  0.0000	308.5714	  0.0000
137.2070	288.5714	  0.0000	  0.0000	199.9512	268.5714	  0.0000	  0.0000	268.5714	  0.0000
138.2272	282.8571	  0.0000	  0.0000	199.9512	302.8571	  0.0000	  0.0000	262.8571	  0.0000
