R18B0723.124086
U-C_VOL_ 07/11/2018 23:12:39 07/11/2018 23:12:39 0170 23.7534 38.0631 -7.4 112.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000015 0020 0000015 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000015 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000015 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000015 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000015 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000015 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.2773	 56.0000	  0.0000	  0.0000	  9.3913	133.3333	  0.0000	  0.0000	 66.6667	  0.0000
  9.2611	 66.6667	  0.0000	  0.0000	  9.3913	152.0000	  0.0000	  0.0000	 74.6667	  0.0000
  9.2285	 88.0000	  0.0000	  0.0000	  9.3880	168.0000	  0.0000	  0.0000	 80.0000	  0.0000
  9.2692	 96.0000	  0.0000	  0.0000	  9.3864	184.0000	  0.0000	  0.0000	114.6667	  0.0000
  9.2855	 96.0000	  0.0000	  0.0000	  9.3994	218.6667	  0.0000	  0.0000	176.0000	  0.0000
  9.0820	189.3333	  0.0000	  0.0000	  9.4059	258.6667	  0.0000	  0.0000	242.6667	  0.0000
  9.3262	266.6667	  0.0000	  0.0000	  9.3896	288.0000	  0.0000	  0.0000	285.3333	  0.0000
  9.4076	301.3333	  0.0000	  0.0000	  9.4108	272.0000	  0.0000	  0.0000	282.6667	  0.0000
  9.1146	266.6667	  0.0000	  0.0000	  9.4092	277.3333	  0.0000	  0.0000	280.0000	  0.0000
  9.4808	280.0000	  0.0000	  0.0000	 10.0814	282.6667	  0.0000	  0.0000	285.3333	  0.0000
 10.4736	277.3333	  0.0000	  0.0000	 11.8359	274.6667	  0.0000	  0.0000	269.3333	  0.0000
 11.1328	285.3333	  0.0000	  0.0000	 13.0273	277.3333	  0.0000	  0.0000	264.0000	  0.0000
 11.4014	269.3333	  0.0000	  0.0000	 13.3952	272.0000	  0.0000	  0.0000	293.3333	  0.0000
 11.6048	282.6667	  0.0000	  0.0000	 14.7624	269.3333	  0.0000	  0.0000	266.6667	  0.0000
 14.2660	282.6667	  0.0000	  0.0000	 24.7282	285.3333	  0.0000	  0.0000	285.3333	  0.0000
 25.4557	253.3333	  0.0000	  0.0000	 52.7995	266.6667	  0.0000	  0.0000	256.0000	  0.0000
 46.2565	274.6667	  0.0000	  0.0000	 95.6364	293.3333	  0.0000	  0.0000	240.0000	  0.0000
 71.7122	266.6667	  0.0000	  0.0000	147.5586	264.0000	  0.0000	  0.0000	277.3333	  0.0000
 94.3278	253.3333	  0.0000	  0.0000	190.7731	258.6667	  0.0000	  0.0000	269.3333	  0.0000
111.7676	261.3333	  0.0000	  0.0000	193.2861	280.0000	  0.0000	  0.0000	280.0000	  0.0000
127.9460	280.0000	  0.0000	  0.0000	193.2861	285.3333	  0.0000	  0.0000	277.3333	  0.0000
139.7542	264.0000	  0.0000	  0.0000	193.2861	272.0000	  0.0000	  0.0000	248.0000	  0.0000
148.1771	280.0000	  0.0000	  0.0000	193.2861	296.0000	  0.0000	  0.0000	288.0000	  0.0000
154.0039	288.0000	  0.0000	  0.0000	193.2861	272.0000	  0.0000	  0.0000	253.3333	  0.0000
152.0589	266.6667	  0.0000	  0.0000	193.2861	288.0000	  0.0000	  0.0000	288.0000	  0.0000
149.2432	272.0000	  0.0000	  0.0000	193.2861	269.3333	  0.0000	  0.0000	261.3333	  0.0000
149.5524	264.0000	  0.0000	  0.0000	193.2861	280.0000	  0.0000	  0.0000	282.6667	  0.0000
148.2503	274.6667	  0.0000	  0.0000	193.2861	253.3333	  0.0000	  0.0000	282.6667	  0.0000
146.5739	261.3333	  0.0000	  0.0000	193.2861	269.3333	  0.0000	  0.0000	290.6667	  0.0000
144.6940	272.0000	  0.0000	  0.0000	193.2861	290.6667	  0.0000	  0.0000	272.0000	  0.0000
142.3991	277.3333	  0.0000	  0.0000	193.2861	264.0000	  0.0000	  0.0000	256.0000	  0.0000
142.6025	290.6667	  0.0000	  0.0000	193.2861	242.6667	  0.0000	  0.0000	293.3333	  0.0000
141.1621	290.6667	  0.0000	  0.0000	193.2861	272.0000	  0.0000	  0.0000	272.0000	  0.0000
134.5378	280.0000	  0.0000	  0.0000	193.2861	304.0000	  0.0000	  0.0000	266.6667	  0.0000
129.7119	288.0000	  0.0000	  0.0000	193.2861	248.0000	  0.0000	  0.0000	248.0000	  0.0000
128.2064	272.0000	  0.0000	  0.0000	193.2861	293.3333	  0.0000	  0.0000	282.6667	  0.0000
123.9746	274.6667	  0.0000	  0.0000	193.2861	266.6667	  0.0000	  0.0000	285.3333	  0.0000
120.7520	277.3333	  0.0000	  0.0000	193.2861	280.0000	  0.0000	  0.0000	269.3333	  0.0000
118.2699	282.6667	  0.0000	  0.0000	193.2861	274.6667	  0.0000	  0.0000	274.6667	  0.0000
111.5316	253.3333	  0.0000	  0.0000	193.2861	285.3333	  0.0000	  0.0000	280.0000	  0.0000
104.5654	250.6667	  0.0000	  0.0000	193.0973	272.0000	  0.0000	  0.0000	280.0000	  0.0000
100.2686	282.6667	  0.0000	  0.0000	193.1038	280.0000	  0.0000	  0.0000	296.0000	  0.0000
 95.0846	277.3333	  0.0000	  0.0000	191.6992	261.3333	  0.0000	  0.0000	277.3333	  0.0000
 89.5915	288.0000	  0.0000	  0.0000	186.6732	274.6667	  0.0000	  0.0000	264.0000	  0.0000
 85.8968	258.6667	  0.0000	  0.0000	182.1338	290.6667	  0.0000	  0.0000	242.6667	  0.0000
 84.9202	298.6667	  0.0000	  0.0000	178.5954	282.6667	  0.0000	  0.0000	274.6667	  0.0000
 83.8867	264.0000	  0.0000	  0.0000	172.1940	258.6667	  0.0000	  0.0000	264.0000	  0.0000
 83.0566	274.6667	  0.0000	  0.0000	164.3278	296.0000	  0.0000	  0.0000	258.6667	  0.0000
 78.6458	261.3333	  0.0000	  0.0000	156.1361	258.6667	  0.0000	  0.0000	256.0000	  0.0000
 71.0612	242.6667	  0.0000	  0.0000	150.6217	264.0000	  0.0000	  0.0000	269.3333	  0.0000
 67.2119	266.6667	  0.0000	  0.0000	144.8389	264.0000	  0.0000	  0.0000	248.0000	  0.0000
 67.1794	261.3333	  0.0000	  0.0000	137.0996	290.6667	  0.0000	  0.0000	285.3333	  0.0000
 65.9587	258.6667	  0.0000	  0.0000	131.4307	285.3333	  0.0000	  0.0000	256.0000	  0.0000
 62.2314	253.3333	  0.0000	  0.0000	125.8496	253.3333	  0.0000	  0.0000	237.3333	  0.0000
 59.2367	274.6667	  0.0000	  0.0000	119.7249	285.3333	  0.0000	  0.0000	264.0000	  0.0000
 57.5277	256.0000	  0.0000	  0.0000	114.4515	272.0000	  0.0000	  0.0000	256.0000	  0.0000
 55.6885	272.0000	  0.0000	  0.0000	111.2923	264.0000	  0.0000	  0.0000	240.0000	  0.0000
 51.2288	261.3333	  0.0000	  0.0000	106.4762	269.3333	  0.0000	  0.0000	256.0000	  0.0000
 47.7214	277.3333	  0.0000	  0.0000	 99.8096	258.6667	  0.0000	  0.0000	250.6667	  0.0000
 47.3145	272.0000	  0.0000	  0.0000	 95.7422	266.6667	  0.0000	  0.0000	240.0000	  0.0000
 46.3135	274.6667	  0.0000	  0.0000	 91.5332	256.0000	  0.0000	  0.0000	250.6667	  0.0000
 46.6146	272.0000	  0.0000	  0.0000	 86.8571	280.0000	  0.0000	  0.0000	226.6667	  0.0000
 45.7601	253.3333	  0.0000	  0.0000	 84.8584	264.0000	  0.0000	  0.0000	272.0000	  0.0000
 41.5446	245.3333	  0.0000	  0.0000	 82.5716	245.3333	  0.0000	  0.0000	253.3333	  0.0000
