R18B0722.445947
U-C_VOL_ 07/11/2018 22:44:59 07/11/2018 22:44:59 0170 23.7534 38.0631 -5.8 24.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000015 0020 0000015 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000015 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000015 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000015 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000015 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000015 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.2285	 56.0000	  0.0000	  0.0000	  9.3701	 96.0000	  0.0000	  0.0000	 88.0000	  0.0000
  9.1634	 64.0000	  0.0000	  0.0000	  9.3604	138.6667	  0.0000	  0.0000	 72.0000	  0.0000
  9.1878	 96.0000	  0.0000	  0.0000	  9.3766	136.0000	  0.0000	  0.0000	114.6667	  0.0000
  9.1227	 88.0000	  0.0000	  0.0000	  9.3734	170.6667	  0.0000	  0.0000	 90.6667	  0.0000
  9.1797	 88.0000	  0.0000	  0.0000	  9.3685	216.0000	  0.0000	  0.0000	136.0000	  0.0000
  9.1146	170.6667	  0.0000	  0.0000	  9.3620	256.0000	  0.0000	  0.0000	234.6667	  0.0000
  9.2611	266.6667	  0.0000	  0.0000	  9.3473	261.3333	  0.0000	  0.0000	240.0000	  0.0000
  9.2936	293.3333	  0.0000	  0.0000	  9.3734	285.3333	  0.0000	  0.0000	272.0000	  0.0000
  9.0658	264.0000	  0.0000	  0.0000	  9.4027	261.3333	  0.0000	  0.0000	280.0000	  0.0000
  9.5540	272.0000	  0.0000	  0.0000	  9.8844	261.3333	  0.0000	  0.0000	266.6667	  0.0000
 10.3109	280.0000	  0.0000	  0.0000	 11.2288	285.3333	  0.0000	  0.0000	285.3333	  0.0000
 10.8073	272.0000	  0.0000	  0.0000	 12.5830	274.6667	  0.0000	  0.0000	272.0000	  0.0000
 11.2223	274.6667	  0.0000	  0.0000	 13.0550	274.6667	  0.0000	  0.0000	266.6667	  0.0000
 11.3525	272.0000	  0.0000	  0.0000	 13.9372	280.0000	  0.0000	  0.0000	280.0000	  0.0000
 12.5814	274.6667	  0.0000	  0.0000	 20.0700	264.0000	  0.0000	  0.0000	264.0000	  0.0000
 19.7021	277.3333	  0.0000	  0.0000	 39.9854	272.0000	  0.0000	  0.0000	269.3333	  0.0000
 36.5316	269.3333	  0.0000	  0.0000	 77.4463	285.3333	  0.0000	  0.0000	261.3333	  0.0000
 58.5286	261.3333	  0.0000	  0.0000	125.1123	269.3333	  0.0000	  0.0000	274.6667	  0.0000
 81.1361	290.6667	  0.0000	  0.0000	172.9557	258.6667	  0.0000	  0.0000	272.0000	  0.0000
100.7324	266.6667	  0.0000	  0.0000	193.2373	266.6667	  0.0000	  0.0000	285.3333	  0.0000
114.7380	280.0000	  0.0000	  0.0000	193.2861	306.6667	  0.0000	  0.0000	266.6667	  0.0000
127.4007	266.6667	  0.0000	  0.0000	193.2861	274.6667	  0.0000	  0.0000	296.0000	  0.0000
137.3047	264.0000	  0.0000	  0.0000	193.2861	296.0000	  0.0000	  0.0000	266.6667	  0.0000
141.6911	274.6667	  0.0000	  0.0000	193.2861	282.6667	  0.0000	  0.0000	277.3333	  0.0000
146.1589	261.3333	  0.0000	  0.0000	193.2861	264.0000	  0.0000	  0.0000	274.6667	  0.0000
147.7458	277.3333	  0.0000	  0.0000	193.2861	298.6667	  0.0000	  0.0000	264.0000	  0.0000
145.7113	285.3333	  0.0000	  0.0000	193.2861	269.3333	  0.0000	  0.0000	248.0000	  0.0000
147.5667	280.0000	  0.0000	  0.0000	193.2861	264.0000	  0.0000	  0.0000	269.3333	  0.0000
148.1445	272.0000	  0.0000	  0.0000	193.2861	272.0000	  0.0000	  0.0000	280.0000	  0.0000
142.6107	282.6667	  0.0000	  0.0000	193.2861	277.3333	  0.0000	  0.0000	272.0000	  0.0000
140.3158	266.6667	  0.0000	  0.0000	193.2861	261.3333	  0.0000	  0.0000	293.3333	  0.0000
140.9993	288.0000	  0.0000	  0.0000	193.2861	258.6667	  0.0000	  0.0000	277.3333	  0.0000
137.5732	296.0000	  0.0000	  0.0000	193.2861	301.3333	  0.0000	  0.0000	266.6667	  0.0000
132.2021	288.0000	  0.0000	  0.0000	193.2861	250.6667	  0.0000	  0.0000	274.6667	  0.0000
127.2624	277.3333	  0.0000	  0.0000	193.2861	285.3333	  0.0000	  0.0000	269.3333	  0.0000
123.8444	274.6667	  0.0000	  0.0000	193.2861	272.0000	  0.0000	  0.0000	256.0000	  0.0000
121.5983	290.6667	  0.0000	  0.0000	193.2861	261.3333	  0.0000	  0.0000	288.0000	  0.0000
118.7907	261.3333	  0.0000	  0.0000	193.2861	293.3333	  0.0000	  0.0000	269.3333	  0.0000
115.6494	280.0000	  0.0000	  0.0000	193.2861	277.3333	  0.0000	  0.0000	248.0000	  0.0000
110.8154	272.0000	  0.0000	  0.0000	193.2861	314.6667	  0.0000	  0.0000	250.6667	  0.0000
105.4362	274.6667	  0.0000	  0.0000	193.2731	274.6667	  0.0000	  0.0000	264.0000	  0.0000
102.4902	269.3333	  0.0000	  0.0000	192.8646	277.3333	  0.0000	  0.0000	274.6667	  0.0000
 99.1211	261.3333	  0.0000	  0.0000	191.1735	282.6667	  0.0000	  0.0000	261.3333	  0.0000
 93.2780	274.6667	  0.0000	  0.0000	188.6149	256.0000	  0.0000	  0.0000	264.0000	  0.0000
 90.1286	274.6667	  0.0000	  0.0000	183.4880	253.3333	  0.0000	  0.0000	248.0000	  0.0000
 87.1501	274.6667	  0.0000	  0.0000	179.5540	264.0000	  0.0000	  0.0000	256.0000	  0.0000
 84.4401	237.3333	  0.0000	  0.0000	172.6123	269.3333	  0.0000	  0.0000	288.0000	  0.0000
 81.8848	258.6667	  0.0000	  0.0000	166.0270	293.3333	  0.0000	  0.0000	272.0000	  0.0000
 78.1413	277.3333	  0.0000	  0.0000	160.2816	272.0000	  0.0000	  0.0000	277.3333	  0.0000
 74.3490	269.3333	  0.0000	  0.0000	153.8704	264.0000	  0.0000	  0.0000	250.6667	  0.0000
 71.7122	285.3333	  0.0000	  0.0000	149.2464	256.0000	  0.0000	  0.0000	264.0000	  0.0000
 69.1244	264.0000	  0.0000	  0.0000	142.3486	282.6667	  0.0000	  0.0000	272.0000	  0.0000
 66.2679	274.6667	  0.0000	  0.0000	134.6598	282.6667	  0.0000	  0.0000	248.0000	  0.0000
 64.8193	285.3333	  0.0000	  0.0000	128.7077	266.6667	  0.0000	  0.0000	245.3333	  0.0000
 60.9375	288.0000	  0.0000	  0.0000	123.3724	272.0000	  0.0000	  0.0000	264.0000	  0.0000
 57.6742	264.0000	  0.0000	  0.0000	118.7777	282.6667	  0.0000	  0.0000	261.3333	  0.0000
 55.6885	256.0000	  0.0000	  0.0000	113.5726	288.0000	  0.0000	  0.0000	242.6667	  0.0000
 53.2064	272.0000	  0.0000	  0.0000	109.4694	272.0000	  0.0000	  0.0000	245.3333	  0.0000
 52.2949	277.3333	  0.0000	  0.0000	107.2510	282.6667	  0.0000	  0.0000	264.0000	  0.0000
 51.3753	258.6667	  0.0000	  0.0000	102.6286	269.3333	  0.0000	  0.0000	242.6667	  0.0000
 48.1283	253.3333	  0.0000	  0.0000	 97.5586	261.3333	  0.0000	  0.0000	256.0000	  0.0000
 46.5658	280.0000	  0.0000	  0.0000	 93.8119	258.6667	  0.0000	  0.0000	250.6667	  0.0000
 45.7601	258.6667	  0.0000	  0.0000	 89.9805	258.6667	  0.0000	  0.0000	253.3333	  0.0000
 44.5394	282.6667	  0.0000	  0.0000	 86.6797	266.6667	  0.0000	  0.0000	261.3333	  0.0000
 42.1875	264.0000	  0.0000	  0.0000	 85.5273	285.3333	  0.0000	  0.0000	256.0000	  0.0000
 39.2659	266.6667	  0.0000	  0.0000	 83.1641	272.0000	  0.0000	  0.0000	242.6667	  0.0000
 39.4775	261.3333	  0.0000	  0.0000	 78.0615	274.6667	  0.0000	  0.0000	250.6667	  0.0000
 41.2191	261.3333	  0.0000	  0.0000	 75.6592	256.0000	  0.0000	  0.0000	245.3333	  0.0000
 38.9079	242.6667	  0.0000	  0.0000	 75.0977	288.0000	  0.0000	  0.0000	253.3333	  0.0000
 36.8978	258.6667	  0.0000	  0.0000	 71.9206	264.0000	  0.0000	  0.0000	248.0000	  0.0000
 37.8092	253.3333	  0.0000	  0.0000	 68.7288	274.6667	  0.0000	  0.0000	245.3333	  0.0000
 35.7422	245.3333	  0.0000	  0.0000	 68.0029	261.3333	  0.0000	  0.0000	256.0000	  0.0000
 34.3424	280.0000	  0.0000	  0.0000	 66.4486	261.3333	  0.0000	  0.0000	261.3333	  0.0000
 35.1725	264.0000	  0.0000	  0.0000	 62.9118	258.6667	  0.0000	  0.0000	216.0000	  0.0000
 32.6823	261.3333	  0.0000	  0.0000	 61.5104	277.3333	  0.0000	  0.0000	229.3333	  0.0000
 30.7536	261.3333	  0.0000	  0.0000	 60.6331	242.6667	  0.0000	  0.0000	253.3333	  0.0000
 31.5104	261.3333	  0.0000	  0.0000	 58.2731	272.0000	  0.0000	  0.0000	240.0000	  0.0000
 31.5999	248.0000	  0.0000	  0.0000	 56.3005	280.0000	  0.0000	  0.0000	226.6667	  0.0000
