R18B0723.005380
U-C_VOL_ 07/11/2018 23:00:52 07/11/2018 23:00:52 0170 23.7534 38.0631 -7.4 24.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.5040	 65.7143	  0.0000	  0.0000	  9.7046	137.1429	  0.0000	  0.0000	 60.0000	  0.0000
  9.5215	 77.1429	  0.0000	  0.0000	  9.7028	145.7143	  0.0000	  0.0000	 91.4286	  0.0000
  9.5215	 80.0000	  0.0000	  0.0000	  9.6994	165.7143	  0.0000	  0.0000	 71.4286	  0.0000
  9.5476	 91.4286	  0.0000	  0.0000	  9.7203	188.5714	  0.0000	  0.0000	 82.8571	  0.0000
  9.5302	105.7143	  0.0000	  0.0000	  9.6976	220.0000	  0.0000	  0.0000	151.4286	  0.0000
  9.3384	165.7143	  0.0000	  0.0000	  9.7116	280.0000	  0.0000	  0.0000	237.1429	  0.0000
  9.6348	240.0000	  0.0000	  0.0000	  9.7098	265.7143	  0.0000	  0.0000	265.7143	  0.0000
  9.7307	280.0000	  0.0000	  0.0000	  9.7430	285.7143	  0.0000	  0.0000	282.8571	  0.0000
  9.4692	294.2857	  0.0000	  0.0000	  9.7691	285.7143	  0.0000	  0.0000	268.5714	  0.0000
  9.8964	280.0000	  0.0000	  0.0000	 10.3969	274.2857	  0.0000	  0.0000	291.4286	  0.0000
 10.7247	317.1429	  0.0000	  0.0000	 12.1408	282.8571	  0.0000	  0.0000	257.1429	  0.0000
 10.9776	294.2857	  0.0000	  0.0000	 13.4678	265.7143	  0.0000	  0.0000	274.2857	  0.0000
 11.5444	277.1429	  0.0000	  0.0000	 13.5184	297.1429	  0.0000	  0.0000	260.0000	  0.0000
 12.1547	285.7143	  0.0000	  0.0000	 14.6048	274.2857	  0.0000	  0.0000	268.5714	  0.0000
 13.1749	280.0000	  0.0000	  0.0000	 21.8471	280.0000	  0.0000	  0.0000	282.8571	  0.0000
 19.9759	268.5714	  0.0000	  0.0000	 43.5739	280.0000	  0.0000	  0.0000	297.1429	  0.0000
