R18B0723.133283
U-C_VOL_ 07/11/2018 23:13:31 07/11/2018 23:13:31 0170 23.7534 38.0631 -10.0 112.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.2512	 42.8571	  0.0000	  0.0000	  9.3610	122.8571	  0.0000	  0.0000	 60.0000	  0.0000
  9.2686	 77.1429	  0.0000	  0.0000	  9.3698	160.0000	  0.0000	  0.0000	 80.0000	  0.0000
  9.1989	 94.2857	  0.0000	  0.0000	  9.3454	162.8571	  0.0000	  0.0000	 77.1429	  0.0000
  9.2076	108.5714	  0.0000	  0.0000	  9.3523	162.8571	  0.0000	  0.0000	102.8571	  0.0000
  9.2773	 91.4286	  0.0000	  0.0000	  9.3558	262.8571	  0.0000	  0.0000	162.8571	  0.0000
  9.1553	188.5714	  0.0000	  0.0000	  9.3680	291.4286	  0.0000	  0.0000	220.0000	  0.0000
  9.3733	240.0000	  0.0000	  0.0000	  9.3610	288.5714	  0.0000	  0.0000	274.2857	  0.0000
  9.3471	288.5714	  0.0000	  0.0000	  9.3907	265.7143	  0.0000	  0.0000	251.4286	  0.0000
  9.1117	240.0000	  0.0000	  0.0000	  9.3715	285.7143	  0.0000	  0.0000	282.8571	  0.0000
  9.4081	271.4286	  0.0000	  0.0000	 10.0028	271.4286	  0.0000	  0.0000	288.5714	  0.0000
 10.2452	300.0000	  0.0000	  0.0000	 11.6455	282.8571	  0.0000	  0.0000	268.5714	  0.0000
