R18B0723.084634
U-C_VOL_ 07/11/2018 23:08:46 07/11/2018 23:08:46 0170 23.7534 38.0631 -7.4 24.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.5564	 45.7143	  0.0000	  0.0000	  9.7255	154.2857	  0.0000	  0.0000	 57.1429	  0.0000
  9.6087	 71.4286	  0.0000	  0.0000	  9.7185	160.0000	  0.0000	  0.0000	 82.8571	  0.0000
  9.5738	 65.7143	  0.0000	  0.0000	  9.6976	162.8571	  0.0000	  0.0000	105.7143	  0.0000
  9.5651	 88.5714	  0.0000	  0.0000	  9.7133	200.0000	  0.0000	  0.0000	 91.4286	  0.0000
  9.5651	 91.4286	  0.0000	  0.0000	  9.7238	222.8571	  0.0000	  0.0000	131.4286	  0.0000
  9.4517	182.8571	  0.0000	  0.0000	  9.7238	300.0000	  0.0000	  0.0000	260.0000	  0.0000
  9.6784	245.7143	  0.0000	  0.0000	  9.7133	282.8571	  0.0000	  0.0000	280.0000	  0.0000
  9.7569	317.1429	  0.0000	  0.0000	  9.7482	291.4286	  0.0000	  0.0000	271.4286	  0.0000
  9.4953	297.1429	  0.0000	  0.0000	  9.7430	260.0000	  0.0000	  0.0000	285.7143	  0.0000
  9.9400	308.5714	  0.0000	  0.0000	 10.3341	285.7143	  0.0000	  0.0000	288.5714	  0.0000
 10.8119	271.4286	  0.0000	  0.0000	 12.2471	268.5714	  0.0000	  0.0000	291.4286	  0.0000
 11.1607	265.7143	  0.0000	  0.0000	 13.5254	271.4286	  0.0000	  0.0000	257.1429	  0.0000
 11.6054	291.4286	  0.0000	  0.0000	 13.6300	265.7143	  0.0000	  0.0000	282.8571	  0.0000
 11.9367	268.5714	  0.0000	  0.0000	 14.6606	288.5714	  0.0000	  0.0000	291.4286	  0.0000
 13.1749	308.5714	  0.0000	  0.0000	 22.0982	280.0000	  0.0000	  0.0000	277.1429	  0.0000
 20.5427	288.5714	  0.0000	  0.0000	 44.2086	302.8571	  0.0000	  0.0000	262.8571	  0.0000
 38.2778	282.8571	  0.0000	  0.0000	 81.4732	288.5714	  0.0000	  0.0000	291.4286	  0.0000
 62.2297	274.2857	  0.0000	  0.0000	129.4730	291.4286	  0.0000	  0.0000	285.7143	  0.0000
 82.1097	294.2857	  0.0000	  0.0000	180.3798	285.7143	  0.0000	  0.0000	282.8571	  0.0000
 99.3478	280.0000	  0.0000	  0.0000	199.9233	294.2857	  0.0000	  0.0000	297.1429	  0.0000
119.4632	268.5714	  0.0000	  0.0000	199.9512	262.8571	  0.0000	  0.0000	265.7143	  0.0000
133.9286	282.8571	  0.0000	  0.0000	199.9512	282.8571	  0.0000	  0.0000	300.0000	  0.0000
138.0179	274.2857	  0.0000	  0.0000	199.9512	294.2857	  0.0000	  0.0000	297.1429	  0.0000
142.2381	288.5714	  0.0000	  0.0000	199.9512	277.1429	  0.0000	  0.0000	271.4286	  0.0000
147.8707	285.7143	  0.0000	  0.0000	199.9512	280.0000	  0.0000	  0.0000	297.1429	  0.0000
150.6173	274.2857	  0.0000	  0.0000	199.9512	300.0000	  0.0000	  0.0000	282.8571	  0.0000
149.3617	265.7143	  0.0000	  0.0000	199.9512	288.5714	  0.0000	  0.0000	268.5714	  0.0000
145.8217	288.5714	  0.0000	  0.0000	199.9512	294.2857	  0.0000	  0.0000	297.1429	  0.0000
143.4326	280.0000	  0.0000	  0.0000	199.9512	297.1429	  0.0000	  0.0000	300.0000	  0.0000
141.6103	271.4286	  0.0000	  0.0000	199.9512	260.0000	  0.0000	  0.0000	274.2857	  0.0000
139.4653	268.5714	  0.0000	  0.0000	199.9512	291.4286	  0.0000	  0.0000	271.4286	  0.0000
