R18B0723.085414
U-C_VOL_ 07/11/2018 23:08:54 07/11/2018 23:08:54 0170 23.7534 38.0631 -7.8 24.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.1989	 31.4286	  0.0000	  0.0000	  9.3802	131.4286	  0.0000	  0.0000	 48.5714	  0.0000
  9.2686	 68.5714	  0.0000	  0.0000	  9.3610	151.4286	  0.0000	  0.0000	 77.1429	  0.0000
  9.2425	 88.5714	  0.0000	  0.0000	  9.3558	168.5714	  0.0000	  0.0000	105.7143	  0.0000
  9.2773	 94.2857	  0.0000	  0.0000	  9.3785	180.0000	  0.0000	  0.0000	 77.1429	  0.0000
  9.1902	 71.4286	  0.0000	  0.0000	  9.3820	205.7143	  0.0000	  0.0000	140.0000	  0.0000
  9.0942	165.7143	  0.0000	  0.0000	  9.3576	282.8571	  0.0000	  0.0000	220.0000	  0.0000
  9.3035	240.0000	  0.0000	  0.0000	  9.3593	280.0000	  0.0000	  0.0000	260.0000	  0.0000
  9.3471	268.5714	  0.0000	  0.0000	  9.3890	282.8571	  0.0000	  0.0000	260.0000	  0.0000
  9.2076	254.2857	  0.0000	  0.0000	  9.4273	280.0000	  0.0000	  0.0000	268.5714	  0.0000
  9.4430	277.1429	  0.0000	  0.0000	 10.1528	282.8571	  0.0000	  0.0000	248.5714	  0.0000
 10.0970	297.1429	  0.0000	  0.0000	 11.9141	271.4286	  0.0000	  0.0000	277.1429	  0.0000
 10.7509	274.2857	  0.0000	  0.0000	 13.3092	277.1429	  0.0000	  0.0000	257.1429	  0.0000
 11.1171	288.5714	  0.0000	  0.0000	 13.5149	274.2857	  0.0000	  0.0000	271.4286	  0.0000
