R18B0722.160815
U-C_VOL_ 07/11/2018 22:16:08 07/11/2018 22:16:08 0170 23.7534 38.0631 -9.8 24.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000015 0020 0000015 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000015 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000015 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000015 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000015 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000015 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.1064	 26.6667	  0.0000	  0.0000	  9.3604	138.6667	  0.0000	  0.0000	 42.6667	  0.0000
  9.1390	 93.3333	  0.0000	  0.0000	  9.3750	146.6667	  0.0000	  0.0000	 56.0000	  0.0000
  9.1227	 69.3333	  0.0000	  0.0000	  9.3783	157.3333	  0.0000	  0.0000	117.3333	  0.0000
  9.1390	 72.0000	  0.0000	  0.0000	  9.3620	189.3333	  0.0000	  0.0000	 80.0000	  0.0000
  9.0902	 93.3333	  0.0000	  0.0000	  9.3652	213.3333	  0.0000	  0.0000	112.0000	  0.0000
  9.0658	146.6667	  0.0000	  0.0000	  9.3587	272.0000	  0.0000	  0.0000	242.6667	  0.0000
  9.2692	248.0000	  0.0000	  0.0000	  9.3278	258.6667	  0.0000	  0.0000	237.3333	  0.0000
  9.2529	301.3333	  0.0000	  0.0000	  9.3750	290.6667	  0.0000	  0.0000	272.0000	  0.0000
  9.0820	261.3333	  0.0000	  0.0000	  9.4141	282.6667	  0.0000	  0.0000	261.3333	  0.0000
  9.1715	296.0000	  0.0000	  0.0000	 10.1237	272.0000	  0.0000	  0.0000	285.3333	  0.0000
  9.9772	277.3333	  0.0000	  0.0000	 11.9775	272.0000	  0.0000	  0.0000	253.3333	  0.0000
 10.4655	285.3333	  0.0000	  0.0000	 13.1901	282.6667	  0.0000	  0.0000	282.6667	  0.0000
 10.4574	288.0000	  0.0000	  0.0000	 13.2145	248.0000	  0.0000	  0.0000	253.3333	  0.0000
 10.8317	312.0000	  0.0000	  0.0000	 14.1878	280.0000	  0.0000	  0.0000	277.3333	  0.0000
 12.3291	256.0000	  0.0000	  0.0000	 20.7227	264.0000	  0.0000	  0.0000	261.3333	  0.0000
 18.3919	264.0000	  0.0000	  0.0000	 41.1719	285.3333	  0.0000	  0.0000	250.6667	  0.0000
 34.0576	277.3333	  0.0000	  0.0000	 75.5160	304.0000	  0.0000	  0.0000	269.3333	  0.0000
