R18B0722.440920
U-C_VOL_ 07/11/2018 22:44:09 07/11/2018 22:44:09 0170 23.7534 38.0631 -3.2 24.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000013 0020 0000013 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000012 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000012 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000012 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000012 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000012 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.1741	 52.3077	  0.0000	  0.0000	  9.3074	144.6154	  0.0000	  0.0000	 43.0769	  0.0000
  9.2116	 73.8462	  0.0000	  0.0000	  9.2924	153.8462	  0.0000	  0.0000	 67.6923	  0.0000
  9.1647	 83.0769	  0.0000	  0.0000	  9.3243	166.1538	  0.0000	  0.0000	 86.1538	  0.0000
  9.1834	 83.0769	  0.0000	  0.0000	  9.3356	160.0000	  0.0000	  0.0000	 70.7692	  0.0000
  9.1271	 76.9231	  0.0000	  0.0000	  9.3074	218.4615	  0.0000	  0.0000	163.0769	  0.0000
  9.0050	163.0769	  0.0000	  0.0000	  9.3280	273.8462	  0.0000	  0.0000	246.1538	  0.0000
  9.2492	246.1538	  0.0000	  0.0000	  9.3224	280.0000	  0.0000	  0.0000	252.3077	  0.0000
  9.2773	252.3077	  0.0000	  0.0000	  9.3299	264.6154	  0.0000	  0.0000	258.4615	  0.0000
  9.1083	270.7692	  0.0000	  0.0000	  9.3543	270.7692	  0.0000	  0.0000	298.4615	  0.0000
  9.2961	267.6923	  0.0000	  0.0000	 10.1600	304.6154	  0.0000	  0.0000	258.4615	  0.0000
 10.1694	267.6923	  0.0000	  0.0000	 12.1394	292.3077	  0.0000	  0.0000	255.3846	  0.0000
 10.7140	295.3846	  0.0000	  0.0000	 13.3282	273.8462	  0.0000	  0.0000	273.8462	  0.0000
 10.8173	252.3077	  0.0000	  0.0000	 12.9751	273.8462	  0.0000	  0.0000	295.3846	  0.0000
 11.0239	276.9231	  0.0000	  0.0000	 13.9761	289.2308	  0.0000	  0.0000	261.5385	  0.0000
 12.3009	276.9231	  0.0000	  0.0000	 22.6281	233.8462	  0.0000	  0.0000	252.3077	  0.0000
 19.2589	276.9231	  0.0000	  0.0000	 46.7623	295.3846	  0.0000	  0.0000	270.7692	  0.0000
 36.0577	264.6154	  0.0000	  0.0000	 85.4699	264.6154	  0.0000	  0.0000	289.2308	  0.0000
 57.0444	264.6154	  0.0000	  0.0000	134.5572	270.7692	  0.0000	  0.0000	258.4615	  0.0000
 77.8527	286.1538	  0.0000	  0.0000	181.8472	252.3077	  0.0000	  0.0000	276.9231	  0.0000
 97.9943	280.0000	  0.0000	  0.0000	192.2607	267.6923	  0.0000	  0.0000	276.9231	  0.0000
114.5865	283.0769	  0.0000	  0.0000	192.2607	280.0000	  0.0000	  0.0000	249.2308	  0.0000
126.2113	276.9231	  0.0000	  0.0000	192.2607	273.8462	  0.0000	  0.0000	280.0000	  0.0000
132.0237	267.6923	  0.0000	  0.0000	192.2607	270.7692	  0.0000	  0.0000	261.5385	  0.0000
137.5920	264.6154	  0.0000	  0.0000	192.2607	276.9231	  0.0000	  0.0000	270.7692	  0.0000
142.9256	255.3846	  0.0000	  0.0000	192.2607	280.0000	  0.0000	  0.0000	276.9231	  0.0000
144.4186	280.0000	  0.0000	  0.0000	192.2607	270.7692	  0.0000	  0.0000	255.3846	  0.0000
145.0571	280.0000	  0.0000	  0.0000	192.2607	292.3077	  0.0000	  0.0000	289.2308	  0.0000
143.3105	276.9231	  0.0000	  0.0000	192.2607	255.3846	  0.0000	  0.0000	261.5385	  0.0000
139.1414	264.6154	  0.0000	  0.0000	192.2607	289.2308	  0.0000	  0.0000	270.7692	  0.0000
