R18B0722.522009
U-C_VOL_ 07/11/2018 22:52:20 07/11/2018 22:52:20 0170 23.7534 38.0631 -5.2 24.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.1902	 68.5714	  0.0000	  0.0000	  9.3366	140.0000	  0.0000	  0.0000	 34.2857	  0.0000
  9.1902	 68.5714	  0.0000	  0.0000	  9.3419	151.4286	  0.0000	  0.0000	 68.5714	  0.0000
  9.1814	120.0000	  0.0000	  0.0000	  9.3663	171.4286	  0.0000	  0.0000	 80.0000	  0.0000
  9.1378	 77.1429	  0.0000	  0.0000	  9.3506	177.1429	  0.0000	  0.0000	100.0000	  0.0000
  9.1814	 91.4286	  0.0000	  0.0000	  9.3384	222.8571	  0.0000	  0.0000	120.0000	  0.0000
  9.0942	177.1429	  0.0000	  0.0000	  9.3558	274.2857	  0.0000	  0.0000	220.0000	  0.0000
  9.2948	245.7143	  0.0000	  0.0000	  9.3401	274.2857	  0.0000	  0.0000	271.4286	  0.0000
  9.3384	271.4286	  0.0000	  0.0000	  9.3767	260.0000	  0.0000	  0.0000	240.0000	  0.0000
  9.1204	271.4286	  0.0000	  0.0000	  9.4064	277.1429	  0.0000	  0.0000	277.1429	  0.0000
  9.5912	282.8571	  0.0000	  0.0000	 10.1545	251.4286	  0.0000	  0.0000	297.1429	  0.0000
 10.7335	282.8571	  0.0000	  0.0000	 11.7327	282.8571	  0.0000	  0.0000	262.8571	  0.0000
 11.2915	280.0000	  0.0000	  0.0000	 12.6692	274.2857	  0.0000	  0.0000	274.2857	  0.0000
 11.3961	268.5714	  0.0000	  0.0000	 13.0057	271.4286	  0.0000	  0.0000	271.4286	  0.0000
 11.2653	265.7143	  0.0000	  0.0000	 14.1218	260.0000	  0.0000	  0.0000	265.7143	  0.0000
 12.6692	280.0000	  0.0000	  0.0000	 20.5375	285.7143	  0.0000	  0.0000	291.4286	  0.0000
 19.7841	265.7143	  0.0000	  0.0000	 41.5597	291.4286	  0.0000	  0.0000	274.2857	  0.0000
 35.7143	282.8571	  0.0000	  0.0000	 78.9028	268.5714	  0.0000	  0.0000	268.5714	  0.0000
 58.0793	265.7143	  0.0000	  0.0000	124.9512	260.0000	  0.0000	  0.0000	265.7143	  0.0000
 79.2062	288.5714	  0.0000	  0.0000	173.3678	305.7143	  0.0000	  0.0000	288.5714	  0.0000
 95.7467	271.4286	  0.0000	  0.0000	192.5328	257.1429	  0.0000	  0.0000	268.5714	  0.0000
109.9592	260.0000	  0.0000	  0.0000	192.8101	271.4286	  0.0000	  0.0000	274.2857	  0.0000
122.9074	294.2857	  0.0000	  0.0000	192.8101	274.2857	  0.0000	  0.0000	274.2857	  0.0000
132.5422	291.4286	  0.0000	  0.0000	192.8101	294.2857	  0.0000	  0.0000	262.8571	  0.0000
138.0179	282.8571	  0.0000	  0.0000	192.8101	260.0000	  0.0000	  0.0000	248.5714	  0.0000
142.5171	288.5714	  0.0000	  0.0000	192.8101	265.7143	  0.0000	  0.0000	257.1429	  0.0000
143.2234	265.7143	  0.0000	  0.0000	192.8101	262.8571	  0.0000	  0.0000	271.4286	  0.0000
141.6975	260.0000	  0.0000	  0.0000	192.8101	294.2857	  0.0000	  0.0000	265.7143	  0.0000
142.6653	268.5714	  0.0000	  0.0000	192.8101	285.7143	  0.0000	  0.0000	262.8571	  0.0000
143.1972	280.0000	  0.0000	  0.0000	192.8101	260.0000	  0.0000	  0.0000	262.8571	  0.0000
141.5056	285.7143	  0.0000	  0.0000	192.8101	280.0000	  0.0000	  0.0000	274.2857	  0.0000
137.4512	294.2857	  0.0000	  0.0000	192.8101	280.0000	  0.0000	  0.0000	291.4286	  0.0000
136.8931	268.5714	  0.0000	  0.0000	192.8101	260.0000	  0.0000	  0.0000	271.4286	  0.0000
134.3820	280.0000	  0.0000	  0.0000	192.8101	274.2857	  0.0000	  0.0000	251.4286	  0.0000
129.1678	302.8571	  0.0000	  0.0000	192.8101	282.8571	  0.0000	  0.0000	265.7143	  0.0000
126.4387	282.8571	  0.0000	  0.0000	192.8101	245.7143	  0.0000	  0.0000	268.5714	  0.0000
124.5815	268.5714	  0.0000	  0.0000	192.8101	268.5714	  0.0000	  0.0000	257.1429	  0.0000
121.6343	277.1429	  0.0000	  0.0000	192.8101	291.4286	  0.0000	  0.0000	274.2857	  0.0000
117.8850	268.5714	  0.0000	  0.0000	192.8101	277.1429	  0.0000	  0.0000	260.0000	  0.0000
112.6535	268.5714	  0.0000	  0.0000	192.7944	277.1429	  0.0000	  0.0000	277.1429	  0.0000
108.1979	268.5714	  0.0000	  0.0000	192.2607	274.2857	  0.0000	  0.0000	265.7143	  0.0000
106.5674	265.7143	  0.0000	  0.0000	192.3636	282.8571	  0.0000	  0.0000	271.4286	  0.0000
