R18B0722.552297
U-C_VOL_ 07/11/2018 22:55:22 07/11/2018 22:55:21 0170 23.7534 38.0631 -2.6 112.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.4866	 37.1429	  0.0000	  0.0000	  9.6906	111.4286	  0.0000	  0.0000	 62.8571	  0.0000
  9.5215	 91.4286	  0.0000	  0.0000	  9.6784	171.4286	  0.0000	  0.0000	 97.1429	  0.0000
  9.4866	 97.1429	  0.0000	  0.0000	  9.6976	180.0000	  0.0000	  0.0000	102.8571	  0.0000
  9.5215	 65.7143	  0.0000	  0.0000	  9.7063	197.1429	  0.0000	  0.0000	105.7143	  0.0000
  9.5302	111.4286	  0.0000	  0.0000	  9.7028	231.4286	  0.0000	  0.0000	151.4286	  0.0000
  9.4343	205.7143	  0.0000	  0.0000	  9.6941	291.4286	  0.0000	  0.0000	228.5714	  0.0000
  9.6436	300.0000	  0.0000	  0.0000	  9.6889	294.2857	  0.0000	  0.0000	251.4286	  0.0000
  9.6697	294.2857	  0.0000	  0.0000	  9.7116	277.1429	  0.0000	  0.0000	297.1429	  0.0000
  9.3297	291.4286	  0.0000	  0.0000	  9.7220	300.0000	  0.0000	  0.0000	280.0000	  0.0000
  9.6523	305.7143	  0.0000	  0.0000	 10.4335	280.0000	  0.0000	  0.0000	294.2857	  0.0000
 10.8032	280.0000	  0.0000	  0.0000	 12.2681	280.0000	  0.0000	  0.0000	282.8571	  0.0000
 11.4310	280.0000	  0.0000	  0.0000	 13.6213	314.2857	  0.0000	  0.0000	282.8571	  0.0000
 11.3787	242.8571	  0.0000	  0.0000	 14.1497	237.1429	  0.0000	  0.0000	274.2857	  0.0000
 11.9890	 91.4286	  0.0000	  0.0000	 15.6895	 71.4286	  0.0000	  0.0000	274.2857	  0.0000
 14.9187	117.1429	  0.0000	  0.0000	 25.5842	 94.2857	  0.0000	  0.0000	297.1429	  0.0000
 24.6059	208.5714	  0.0000	  0.0000	 54.1016	160.0000	  0.0000	  0.0000	291.4286	  0.0000
 45.7241	122.8571	  0.0000	  0.0000	 99.9599	 71.4286	  0.0000	  0.0000	174.2857	  0.0000
 72.8324	 57.1429	  0.0000	  0.0000	155.3711	 71.4286	  0.0000	  0.0000	 77.1429	  0.0000
 97.9266	 34.2857	  0.0000	  0.0000	198.3085	 11.4286	  0.0000	  0.0000	 11.4286	  0.0000
117.6322	 68.5714	  0.0000	  0.0000	199.9512	 14.2857	  0.0000	  0.0000	 82.8571	  0.0000
131.3302	 94.2857	  0.0000	  0.0000	199.9512	 62.8571	  0.0000	  0.0000	 80.0000	  0.0000
236.3717	 97.1429	  0.0000	  0.0000	199.9512	 28.5714	  0.0000	  0.0000	108.5714	  0.0000
549.7785	 71.4286	  0.0000	  0.0000	199.9512	 71.4286	  0.0000	  0.0000	 65.7143	  0.0000
423.1829	111.4286	  0.0000	  0.0000	199.9512	114.2857	  0.0000	  0.0000	  2.8571	  0.0000
130.9989	 85.7143	  0.0000	  0.0000	199.9512	 80.0000	  0.0000	  0.0000	  5.7143	  0.0000
771.6849	 57.1429	  0.0000	  0.0000	199.9512	131.4286	  0.0000	  0.0000	  2.8571	  0.0000
999.7559	 17.1429	  0.0000	  0.0000	199.9512	151.4286	  0.0000	  0.0000	  8.5714	  0.0000
973.4410	 17.1429	  0.0000	  0.0000	199.9512	111.4286	  0.0000	  0.0000	  5.7143	  0.0000
230.9221	 14.2857	  0.0000	  0.0000	199.9512	125.7143	  0.0000	  0.0000	  2.8571	  0.0000
142.0114	 11.4286	  0.0000	  0.0000	199.9512	102.8571	  0.0000	  0.0000	  0.0000	  0.0000
233.4246	 14.2857	  0.0000	  0.0000	199.9512	 88.5714	  0.0000	  0.0000	  0.0000	  0.0000
