R18B0722.475692
U-C_VOL_ 07/11/2018 22:47:56 07/11/2018 22:47:55 0170 23.7534 38.0631 -3.2 112.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.1204	 54.2857	  0.0000	  0.0000	  9.3331	122.8571	  0.0000	  0.0000	 62.8571	  0.0000
  9.2512	 65.7143	  0.0000	  0.0000	  9.3523	157.1429	  0.0000	  0.0000	 80.0000	  0.0000
  9.1727	 80.0000	  0.0000	  0.0000	  9.3523	162.8571	  0.0000	  0.0000	105.7143	  0.0000
  9.1117	 65.7143	  0.0000	  0.0000	  9.3436	171.4286	  0.0000	  0.0000	 85.7143	  0.0000
  9.1989	105.7143	  0.0000	  0.0000	  9.3436	251.4286	  0.0000	  0.0000	162.8571	  0.0000
  9.1291	202.8571	  0.0000	  0.0000	  9.3471	242.8571	  0.0000	  0.0000	254.2857	  0.0000
  9.2337	288.5714	  0.0000	  0.0000	  9.3331	251.4286	  0.0000	  0.0000	242.8571	  0.0000
  9.3297	274.2857	  0.0000	  0.0000	  9.3663	285.7143	  0.0000	  0.0000	237.1429	  0.0000
  9.0158	265.7143	  0.0000	  0.0000	  9.4046	285.7143	  0.0000	  0.0000	262.8571	  0.0000
  9.2599	277.1429	  0.0000	  0.0000	 10.1179	257.1429	  0.0000	  0.0000	271.4286	  0.0000
 10.1144	280.0000	  0.0000	  0.0000	 11.7728	254.2857	  0.0000	  0.0000	268.5714	  0.0000
